shipment_id,ship_date,distance_miles,tractor_weight_lbs,carrier_group
S001,2024-01-01,85,16820,BBIG
S002,2024-01-01,120,17450,BBIG
S003,2024-01-01,240,18610,BVHG
S004,2024-01-01,60,16220,OTHER
S005,2024-01-01,180,18140,OTHER
S006,2024-01-01,320,19320,BVHG
S007,2024-01-02,90,16710,BBIG
S008,2024-01-02,145,17680,BBIG
S009,2024-01-02,210,18340,BVHG
S010,2024-01-02,55,15990,OTHER
S011,2024-01-02,175,17970,OTHER
S012,2024-01-02,300,19160,BVHG
S013,2024-01-03,80,16680,BBIG
S014,2024-01-03,130,17310,BBIG
S015,2024-01-03,250,18780,BVHG
S016,2024-01-03,70,16130,OTHER
S017,2024-01-03,190,18090,OTHER
S018,2024-01-03,330,19510,BVHG
S019,2024-01-04,95,16940,BBIG
S020,2024-01-04,150,17720,BBIG
S021,2024-01-04,225,18460,BVHG
S022,2024-01-04,65,16080,OTHER
S023,2024-01-04,165,17890,OTHER
S024,2024-01-04,310,19240,BVHG
S025,2024-01-05,88,16790,BBIG
S026,2024-01-05,140,17560,BBIG
S027,2024-01-05,235,18520,BVHG
S028,2024-01-05,58,16010,OTHER
S029,2024-01-05,185,18110,OTHER
S030,2024-01-05,340,19470,BVHG
S031,2024-01-06,92,16870,BBIG
S032,2024-01-06,155,17630,BBIG
S033,2024-01-06,245,18670,BVHG
S034,2024-01-06,62,16120,OTHER
S035,2024-01-06,170,17950,OTHER
S036,2024-01-06,325,19390,BVHG
